session_id,start_utc,start_local,end_utc,end_local,tz_offset,hour_local,day_of_week,duration_min,is_after_2pm,is_subagent,user_messages,assistant_turns,tool_uses,tool_results,total_input_tokens,total_output_tokens,total_cache_read_tokens,total_cache_creation_tokens,avg_input_per_turn,avg_output_per_turn,cache_hit_rate,models_used,primary_model,service_tiers,inference_geos,speed_modes,avg_user_msg_length,median_user_msg_length,avg_assistant_text_length,median_assistant_text_length,avg_thinking_length,thinking_depth_ratio,empty_responses,abandoned_frustrated,tool_success_rate,tool_loops,short_user_msgs,correction_signals,frustration_signals,consecutive_corrections,question_marks_from_user,exclamation_marks_from_user,user_msgs_under_10_chars,user_msgs_under_30_chars,stop_reasons,end_turn_count,tool_use_stop_count,max_tokens_count,unique_tools_used,tool_names,advisor_calls,system_events,compact_boundaries,hook_errors,session_entries_total,turns_per_minute,tokens_per_minute,output_tokens_per_user_msg,is_short_session,is_fragmented
6b61e202c4b4,2026-01-30T08:56:16.353000+00:00,2026-01-30 18:56:16,2026-01-30T08:56:23.601000+00:00,2026-01-30 18:56:23,+10:00,18,Friday,0.1,1,1,1,3,1,0,11,3,39029,21909,4.0,1.0,64.0,claude-haiku-4-5-20251001:3,claude-haiku-4-5-20251001,standard,unknown,unknown,322,322,696,696.0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,1,Read,0,0,0,0,6,24.83,116.0,3.0,1,1
b2a2edc0ebbe,2026-01-30T09:12:51.564000+00:00,2026-01-30 19:12:51,2026-01-30T09:14:22.574000+00:00,2026-01-30 19:14:22,+10:00,19,Friday,1.5,1,1,1,13,8,0,23,18,191882,124323,2.0,1.0,60.7,claude-opus-4-5-20251101:13,claude-opus-4-5-20251101,standard,unknown,unknown,3175,3175,666.0,83,0,0.0,10,0,0.0,2,0,1,0,0,0,0,0,0,,0,0,0,3,Bash|Read|Write,0,0,0,0,29,8.57,27.0,18.0,1,1
f3b12af21ab3,2026-01-30T09:13:01.830000+00:00,2026-01-30 19:13:01,2026-01-30T09:58:37.290000+00:00,2026-01-30 19:58:37,+10:00,19,Friday,45.6,1,1,1,35,24,1,43,275,992628,60178,1.0,8.0,94.3,claude-opus-4-5-20251101:35,claude-opus-4-5-20251101,standard,unknown,unknown,1479,1479,257.0,90,0,0.0,24,0,4.2,7,0,1,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Read|Write,0,0,0,0,1163,0.77,7.0,275.0,0,0
ada37858b958,2026-01-30T11:20:18.623000+00:00,2026-01-30 21:20:18,2026-01-30T11:20:41.271000+00:00,2026-01-30 21:20:41,+10:00,21,Friday,0.4,1,1,1,12,7,0,55,21,193783,53511,5.0,2.0,78.4,claude-haiku-4-5-20251001:12,claude-haiku-4-5-20251001,standard,unknown,unknown,602,602,985.0,118,0,0.0,7,0,0.0,1,0,0,0,0,4,0,0,0,,0,0,0,3,Bash|Grep|Read,0,0,0,0,28,31.79,201.0,21.0,1,1
47b7a52e3ccb,2026-01-30T11:40:40.128000+00:00,2026-01-30 21:40:40,2026-01-30T11:42:53.804000+00:00,2026-01-30 21:42:53,+10:00,21,Friday,2.2,1,1,1,44,31,1,171,108,1984065,297441,4.0,2.0,87.0,claude-haiku-4-5-20251001:44,claude-haiku-4-5-20251001,standard,unknown,unknown,1187,1187,2497.0,61,0,0.0,35,0,3.2,8,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Read,0,0,0,0,114,19.75,125.0,108.0,1,1
1d7673614b27,2026-01-31T01:37:27.288000+00:00,2026-01-31 11:37:27,2026-01-31T01:38:22.760000+00:00,2026-01-31 11:38:22,+10:00,11,Saturday,0.9,0,1,1,22,16,0,132,27,495445,252091,6.0,1.0,66.3,claude-haiku-4-5-20251001:22,claude-haiku-4-5-20251001,standard,unknown,unknown,769,769,1930.0,62.0,0,0.0,18,0,0.0,5,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Read,0,0,0,0,56,23.8,172.0,27.0,1,1
864e9bd254af,2026-01-31T02:34:47.240000+00:00,2026-01-31 12:34:47,2026-01-31T02:35:36.550000+00:00,2026-01-31 12:35:36,+10:00,12,Saturday,0.8,0,1,1,35,23,0,9561,84,901318,142011,273.0,2.0,86.4,claude-haiku-4-5-20251001:35,claude-haiku-4-5-20251001,standard,unknown,unknown,408,408,596.0,72.0,0,0.0,25,0,0.0,5,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,88,42.59,11736.0,84.0,1,1
887c38e84b18,2026-01-31T02:40:39.264000+00:00,2026-01-31 12:40:39,2026-01-31T02:40:40.109000+00:00,2026-01-31 12:40:40,+10:00,12,Saturday,0.0,0,1,1,2,0,0,3,10,79800,1397,2.0,5.0,98.3,claude-opus-4-5-20251101:1|<synthetic>:1,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,1129,1129.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,stop_sequence:1,0,0,0,0,,0,0,0,0,3,20.0,130.0,10.0,1,1
eb6362df4263,2026-01-31T03:14:32.269000+00:00,2026-01-31 13:14:32,2026-01-31T03:16:11.429000+00:00,2026-01-31 13:16:11,+10:00,13,Saturday,1.7,0,1,1,1,0,1,3,6,184747,1370,3.0,6.0,99.3,claude-opus-4-5-20251101:1,claude-opus-4-5-20251101,standard,unknown,unknown,5143,5143,15431,15431,0,0.0,0,0,100.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,3,0.61,5.0,6.0,1,1
48327730b3b8,2026-01-31T03:26:04.484000+00:00,2026-01-31 13:26:04,2026-01-31T03:26:04.891000+00:00,2026-01-31 13:26:04,+10:00,13,Saturday,0.0,0,1,1,2,0,0,1,1,61324,160,0.0,0.0,99.7,claude-opus-4-5-20251101:1|<synthetic>:1,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,368,368.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,stop_sequence:1,0,0,0,0,,0,0,0,0,3,20.0,20.0,1.0,1,1
8b525245b801,2026-01-31T03:35:34.830000+00:00,2026-01-31 13:35:34,2026-01-31T03:37:00.074000+00:00,2026-01-31 13:37:00,+10:00,13,Saturday,1.4,0,1,1,12,10,0,34,23,14624,195746,3.0,2.0,7.0,claude-opus-4-5-20251101:12,claude-opus-4-5-20251101,standard,unknown,unknown,1293,1293,5386.0,5386.0,0,0.0,10,1,0.0,3,0,0,1,0,0,0,0,0,,0,0,0,1,Read,0,0,0,0,33,8.45,40.0,23.0,1,1
661cd7f17ecc,2026-01-31T03:48:15.136000+00:00,2026-01-31 13:48:15,2026-01-31T03:48:17.520000+00:00,2026-01-31 13:48:17,+10:00,13,Saturday,0.0,0,1,1,2,0,0,5,2,46378,6302,2.0,1.0,88.0,claude-opus-4-5-20251101:2,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,280.0,280.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,,0,0,0,0,,0,0,0,0,3,20.0,70.0,2.0,1,1
d923a5f961a5,2026-01-31T03:59:49.130000+00:00,2026-01-31 13:59:49,2026-01-31T03:59:49.625000+00:00,2026-01-31 13:59:49,+10:00,13,Saturday,0.0,0,1,1,2,0,0,1,2,65257,205,0.0,1.0,99.7,claude-opus-4-5-20251101:1|<synthetic>:1,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,193,193.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,stop_sequence:1,0,0,0,0,,0,0,0,0,3,20.0,30.0,2.0,1,1
e17bd86fd4ba,2026-01-31T04:02:06.342000+00:00,2026-01-31 14:02:06,2026-01-31T04:02:18.089000+00:00,2026-01-31 14:02:18,+10:00,14,Saturday,0.2,1,1,1,5,2,0,24,8,34875,39659,5.0,2.0,46.8,claude-haiku-4-5-20251001:5,claude-haiku-4-5-20251001,standard,unknown,unknown,252,252,723.0,98,0,0.0,2,0,0.0,0,0,0,0,0,1,0,0,0,,0,0,0,1,WebFetch,0,0,0,0,8,25.54,163.0,8.0,1,1
bfef65c1a37a,2026-01-31T04:58:46.385000+00:00,2026-01-31 14:58:46,2026-01-31T05:00:08.562000+00:00,2026-01-31 15:00:08,+10:00,14,Saturday,1.4,1,1,1,1,0,1,3,6,167039,1304,3.0,6.0,99.2,claude-opus-4-5-20251101:1,claude-opus-4-5-20251101,standard,unknown,unknown,5143,5143,14559,14559,0,0.0,0,0,100.0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,3,0.73,7.0,6.0,1,1
e892928e11fb,2026-01-31T05:43:42.474000+00:00,2026-01-31 15:43:42,2026-01-31T05:43:42.999000+00:00,2026-01-31 15:43:42,+10:00,15,Saturday,0.0,1,1,1,2,0,0,3,2,70378,6006,2.0,1.0,92.1,claude-opus-4-5-20251101:1|<synthetic>:1,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,396.0,396.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,stop_sequence:1,0,0,0,0,,0,0,0,0,3,20.0,50.0,2.0,1,1
0d48171a89e4,2026-01-31T05:48:01.062000+00:00,2026-01-31 15:48:01,2026-01-31T05:48:01.682000+00:00,2026-01-31 15:48:01,+10:00,15,Saturday,0.0,1,1,1,2,0,0,1,1,99858,1287,0.0,0.0,98.7,claude-opus-4-5-20251101:1|<synthetic>:1,claude-opus-4-5-20251101,standard,unknown,unknown,1100,1100,681,681.0,0,0.0,0,1,0.0,0,0,1,1,0,2,0,0,0,stop_sequence:1,0,0,0,0,,0,0,0,0,3,20.0,20.0,1.0,1,1
97dd9222e356,2026-01-31T05:48:34.547000+00:00,2026-01-31 15:48:34,2026-01-31T05:50:11.742000+00:00,2026-01-31 15:50:11,+10:00,15,Saturday,1.6,1,1,1,40,31,0,256,112,927150,224066,6.0,3.0,80.5,claude-sonnet-4-5-20250929:40,claude-sonnet-4-5-20250929,standard,unknown,unknown,719,719,791.0,99,0,0.0,32,0,0.0,7,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,108,24.69,227.0,112.0,1,1
ebfd427fa500,2026-01-31T05:48:40.482000+00:00,2026-01-31 15:48:40,2026-01-31T05:50:12.698000+00:00,2026-01-31 15:50:12,+10:00,15,Saturday,1.5,1,1,1,19,13,0,107,33,506902,136630,6.0,2.0,78.8,claude-sonnet-4-5-20250929:19,claude-sonnet-4-5-20250929,standard,unknown,unknown,820,820,1776,79.0,0,0.0,13,0,0.0,4,0,0,0,0,0,0,0,0,,0,0,0,2,Grep|Read,0,0,0,0,46,12.36,91.0,33.0,1,1
3e1093c52819,2026-01-31T05:50:35.691000+00:00,2026-01-31 15:50:35,2026-01-31T05:54:57.490000+00:00,2026-01-31 15:54:57,+10:00,15,Saturday,4.4,1,1,1,35,31,1,216,447,1308932,166084,6.0,13.0,88.7,claude-sonnet-4-5-20250929:35,claude-sonnet-4-5-20250929,standard,unknown,unknown,3284,3284,5544.0,151.0,0,0.0,31,1,3.2,6,0,2,1,0,2,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,102,8.02,152.0,447.0,1,1
daa1b3d691cd,2026-01-31T06:02:06.012000+00:00,2026-01-31 16:02:06,2026-01-31T06:03:32.549000+00:00,2026-01-31 16:03:32,+10:00,16,Saturday,1.4,1,1,1,27,21,0,119,83,519516,336678,4.0,3.0,60.7,claude-sonnet-4-5-20250929:27,claude-sonnet-4-5-20250929,standard,unknown,unknown,967,967,1987.0,82.0,0,0.0,21,0,0.0,6,0,0,0,0,0,0,0,0,,0,0,0,3,Bash|Glob|Read,0,0,0,0,73,18.72,140.0,83.0,1,1
7fbf71b4d810,2026-01-31T06:43:20.437000+00:00,2026-01-31 16:43:20,2026-01-31T06:44:14.944000+00:00,2026-01-31 16:44:14,+10:00,16,Saturday,0.9,1,1,1,39,25,0,12206,63,1397376,212377,313.0,2.0,86.8,claude-haiku-4-5-20251001:39,claude-haiku-4-5-20251001,standard,unknown,unknown,1089,1089,467.0,99.0,0,0.0,26,0,0.0,7,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,93,42.93,13505.0,63.0,1,1
8972ab78d955,2026-01-31T07:16:49.656000+00:00,2026-01-31 17:16:49,2026-01-31T07:17:23.885000+00:00,2026-01-31 17:17:23,+10:00,17,Saturday,0.6,1,1,1,15,11,0,77,15,240605,72040,5.0,1.0,77.0,claude-haiku-4-5-20251001:15,claude-haiku-4-5-20251001,standard,unknown,unknown,844,844,2538,106.0,0,0.0,11,0,0.0,3,0,0,0,0,0,0,0,0,,0,0,0,2,Glob|Read,0,0,0,0,38,26.29,161.0,15.0,1,1
45724c7da59a,2026-01-31T07:18:12.171000+00:00,2026-01-31 17:18:12,2026-01-31T07:19:02.130000+00:00,2026-01-31 17:19:02,+10:00,17,Saturday,0.8,1,1,1,38,27,1,15795,59,1045586,125015,416.0,2.0,89.3,claude-haiku-4-5-20251001:38,claude-haiku-4-5-20251001,standard,unknown,unknown,412,412,601.0,83,0,0.0,27,0,3.7,6,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,99,45.64,19040.0,59.0,1,1
ca6f9358723f,2026-01-31T09:16:44.174000+00:00,2026-01-31 19:16:44,2026-01-31T09:17:16.100000+00:00,2026-01-31 19:17:16,+10:00,19,Saturday,0.5,1,1,1,9,6,0,3242,9,103704,186323,360.0,1.0,35.8,claude-haiku-4-5-20251001:9,claude-haiku-4-5-20251001,standard,unknown,unknown,787,787,2527.0,115,0,0.0,6,1,0.0,2,0,0,1,0,0,0,0,0,,0,0,0,2,Grep|Read,0,0,0,0,16,16.91,6110.0,9.0,1,1
52daa849ff81,2026-01-31T09:26:40.113000+00:00,2026-01-31 19:26:40,2026-01-31T09:27:21.925000+00:00,2026-01-31 19:27:21,+10:00,19,Saturday,0.7,1,1,1,33,25,1,15100,58,542259,153848,458.0,2.0,77.9,claude-haiku-4-5-20251001:33,claude-haiku-4-5-20251001,standard,unknown,unknown,303,303,780.0,74.0,0,0.0,25,1,4.0,6,0,0,1,0,0,0,0,0,,0,0,0,3,Bash|Glob|Read,0,0,0,0,75,47.35,21752.0,58.0,1,1
cbb1cbecca11,2026-01-31T10:32:28.080000+00:00,2026-01-31 20:32:28,2026-01-31T10:33:16.909000+00:00,2026-01-31 20:33:16,+10:00,20,Saturday,0.8,1,1,1,24,18,0,720,38,364672,213819,30.0,2.0,63.0,claude-haiku-4-5-20251001:24,claude-haiku-4-5-20251001,standard,unknown,unknown,918,918,1809.0,90.0,0,0.0,21,0,0.0,6,0,0,0,0,10,0,0,0,,0,0,0,2,Glob|Read,0,0,0,0,43,29.49,931.0,38.0,1,1
7a809db26804,2026-01-31T10:33:50.642000+00:00,2026-01-31 20:33:50,2026-01-31T10:34:49.053000+00:00,2026-01-31 20:34:49,+10:00,20,Saturday,1.0,1,1,1,25,17,0,38147,29,630687,130985,1526.0,1.0,82.8,claude-haiku-4-5-20251001:25,claude-haiku-4-5-20251001,standard,unknown,unknown,1183,1183,1632.0,96.0,0,0.0,17,0,0.0,3,0,0,0,0,13,0,0,0,,0,0,0,4,Bash|Glob|Grep|Read,0,0,0,0,49,25.68,39215.0,29.0,1,1
18aeba58e685,2026-01-31T10:55:00.871000+00:00,2026-01-31 20:55:00,2026-01-31T10:55:14.543000+00:00,2026-01-31 20:55:14,+10:00,20,Saturday,0.2,1,1,1,7,5,0,1744,13,14465,90229,249.0,2.0,13.8,claude-haiku-4-5-20251001:7,claude-haiku-4-5-20251001,standard,unknown,unknown,528,528,1482,1482.0,0,0.0,5,0,0.0,1,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Read,0,0,0,0,15,30.72,7711.0,13.0,1,1
3babd6208787,2026-01-31T10:57:36.020000+00:00,2026-01-31 20:57:36,2026-01-31T10:59:10.752000+00:00,2026-01-31 20:59:10,+10:00,20,Saturday,1.6,1,1,1,12,10,0,40,12,151662,43456,3.0,1.0,77.7,claude-haiku-4-5-20251001:12,claude-haiku-4-5-20251001,standard,unknown,unknown,688,688,19968,19968.0,0,0.0,10,0,0.0,3,0,0,0,0,0,0,0,0,,0,0,0,1,Read,0,0,0,0,23,7.6,33.0,12.0,1,1
fbbdc9cd7c28,2026-01-31T10:59:17.585000+00:00,2026-01-31 20:59:17,2026-01-31T10:59:48.539000+00:00,2026-01-31 20:59:48,+10:00,20,Saturday,0.5,1,1,1,6,4,0,22,11,76751,16627,4.0,2.0,82.2,claude-haiku-4-5-20251001:6,claude-haiku-4-5-20251001,standard,unknown,unknown,358,358,6686.0,6686.0,0,0.0,5,0,0.0,1,0,0,0,0,0,0,0,0,,0,0,0,1,Read,0,0,0,0,11,11.63,64.0,11.0,1,1
b956dd4524eb,2026-01-31T11:11:36.704000+00:00,2026-01-31 21:11:36,2026-01-31T11:14:38.003000+00:00,2026-01-31 21:14:38,+10:00,21,Saturday,3.0,1,1,1,13,7,5,17,75,233962,55865,1.0,6.0,80.7,claude-opus-4-5-20251101:13,claude-opus-4-5-20251101,standard,unknown,unknown,21763,21763,178.0,70.0,0,0.0,8,1,71.4,2,0,1,1,0,49,16,0,0,,0,0,0,2,Bash|Write,0,0,0,0,29,4.3,30.0,75.0,1,1
cd8612630886,2026-01-31T11:11:36.706000+00:00,2026-01-31 21:11:36,2026-01-31T11:14:07.879000+00:00,2026-01-31 21:14:07,+10:00,21,Saturday,2.5,1,1,1,32,20,10,36,244,437441,35083,1.0,8.0,92.6,claude-opus-4-5-20251101:32,claude-opus-4-5-20251101,standard,unknown,unknown,4379,4379,146,81.0,0,0.0,22,0,50.0,6,0,0,0,0,0,0,0,0,,0,0,0,2,Bash|Write,0,0,0,0,92,12.7,111.0,244.0,1,1
eabe949e5b16,2026-01-31T17:39:27.309000+00:00,2026-02-01 03:39:27,2026-01-31T17:40:11.902000+00:00,2026-02-01 03:40:11,+10:00,3,Sunday,0.7,0,1,1,22,15,0,112,25,424740,167469,5.0,1.0,71.7,claude-haiku-4-5-20251001:22,claude-haiku-4-5-20251001,standard,unknown,unknown,987,987,1368.0,94,0,0.0,15,0,0.0,4,0,0,0,0,3,0,0,0,,0,0,0,3,Glob|Grep|Read,0,0,0,0,38,29.6,184.0,25.0,1,1
34f427834e3a,2026-01-31T17:40:31.436000+00:00,2026-02-01 03:40:31,2026-01-31T17:43:06.448000+00:00,2026-02-01 03:43:06,+10:00,3,Sunday,2.6,0,1,1,37,26,0,1029,223,995685,141206,28.0,6.0,87.6,claude-opus-4-5-20251101:37,claude-opus-4-5-20251101,standard,unknown,unknown,2660,2660,1509.0,131,0,0.0,26,0,0.0,7,0,0,0,0,0,0,0,0,,0,0,0,3,Glob|Grep|Read,0,0,0,0,64,14.32,485.0,223.0,1,1
ddd4d6d69963,2026-01-31T17:56:55.898000+00:00,2026-02-01 03:56:55,2026-01-31T17:57:15.671000+00:00,2026-02-01 03:57:15,+10:00,3,Sunday,0.3,0,1,1,13,10,0,79,16,146066,63422,6.0,1.0,69.7,claude-haiku-4-5-20251001:13,claude-haiku-4-5-20251001,standard,unknown,unknown,507,507,1234,107,0,0.0,10,0,0.0,2,0,0,0,0,0,0,0,0,,0,0,0,2,Grep|Read,0,0,0,0,24,39.45,288.0,16.0,1,1
f6ea9df77c39,2026-01-31T18:11:00.424000+00:00,2026-02-01 04:11:00,2026-01-31T18:15:14.069000+00:00,2026-02-01 04:15:14,+10:00,4,Sunday,4.2,0,1,2,5,4,1,15,5,0,72220,3.0,1.0,0.0,claude-haiku-4-5-20251001:5,claude-haiku-4-5-20251001,standard,unknown,unknown,254.0,254.0,91,91,0,0.0,4,0,25.0,0,0,0,0,0,0,0,0,0,,0,0,0,3,Bash|Glob|Read,0,0,0,0,13,1.18,5.0,2.0,1,1
b24ee984485e,2026-01-31T18:25:32.638000+00:00,2026-02-01 04:25:32,2026-01-31T18:26:40.722000+00:00,2026-02-01 04:26:40,+10:00,4,Sunday,1.1,0,1,1,13,10,0,17,209,145279,40226,1.0,16.0,78.3,claude-opus-4-5-20251101:13,claude-opus-4-5-20251101,standard,unknown,unknown,866,866,551.0,73,0,0.0,10,0,0.0,2,0,0,0,0,0,0,0,0,,0,0,0,3,Bash|Read|Write,0,0,0,0,26,11.46,199.0,209.0,1,1
346d14cd1152,2026-01-31T18:25:32.640000+00:00,2026-02-01 04:25:32,2026-01-31T18:26:39.459000+00:00,2026-02-01 04:26:39,+10:00,4,Sunday,1.1,0,1,1,18,13,0,24,23,235825,65179,1.0,1.0,78.3,claude-opus-4-5-20251101:18,claude-opus-4-5-20251101,standard,unknown,unknown,986,986,370.0,85,0,0.0,14,0,0.0,3,0,0,0,0,0,0,0,0,,0,0,0,4,Bash|Glob|Read|Write,0,0,0,0,34,16.16,42.0,23.0,1,1
